classification,text
Careers,"Awarded Best of iTunes, The $100 MBA Show is a new kind of podcast where you simply get better at business with our practical business lessons for the real world. These no fluff episodes are packed with only the pure business building training you want.



Omar Zenhom (@TheOmarZenhom) shares some of the best lessons, concepts, examples and insights from inside The $100 MBA training and community. Omar also calls upon some of the industry's top experts as guest teachers on the show. Again, no backstories or promotions, just solid business lessons from the best in the game."
Self-Help,In this podcast Brad & Morgan Robinson outline everything you need to know to heal after infidelity has wrecked your relationship.  If you want to heal after betrayal - whether you had an affair or multiple affairs or it was your partner who hurt you - this podcast is for you!  Each episode has a free download available at healingbrokentrust.com so you can work together to fully heal or you can work alone.  Either way you'll experience transformation!  Brad is a nationally recognized affair recovery expert and licensed marriage and family therapist.  He and his wife have helped thousands of couples heal after betrayal and save their family.  You can save your family and completely heal even after betrayal.
TV & Film,"iPlayMusic's learning and entertainment software products are great for all ages and fun for the whole family. These free videos are sampled from our interactive software products for kids and adults. We encourage you to play and sing along while teaching you the basics such as how to hold, tune, and strum the guitar; how to construct chords and transition between them; how to play and sing hit songs; and how to create your own versions of the songs and share them with friends and family. We offer software, downloadable song lesson modules, and interactive DVDs. Please visit us at www.iplaymusic.com to learn hit songs such as Yellow Submarine, I Shot the Sheriff, and Redemption Song; children's songs such as If You're Happy and You Know It, The Wheels on the Bus, and I've Been Working on the Railroad; and other great tunes made famous by artists such as Eric Clapton, The Beatles, The Beach Boys, Willie Nelson, Creedance Clearwater Revival, Bob Marley, the Grateful Dead, Box Car Willie, Johnny Cash, Leadbelly, and more!"
Aviation,"Join host Stephen Force for coverage of aviation and aerospace that includes general aviation, space exploration, military aviation, flight music, and a healthy dose of flying philosophy."
Business News,"The Financial Times Money Show brings you engaging insight into personal finance. Claer Barrett, her team and leading industry commentators dissect the week’s news and discuss how it will affect you and your pocket. Produced by Naomi Rovnick."
Hobbies,"Vegetable Gardening Podcast: Tips, Tricks and Techniques"
TV & Film,"An enhanced LOST fan podcast from The Island. Ryan and Jen in Hawaii discuss the latest episode of LOST, share listener feedback, and report on LOST news, including production work taking place in Honolulu."
Food,A show about things interesting to craft beer geeks.
Literature,The Return of the Podcast is a podcast devoted to the discussion of the works of J.R.R. Tolkien.
Fashion & Beauty,"Nache Snow and Astral Riles are the owners of the directory FindaFashionTruck.com and manage the blog StartaFashionTruck.com. They are new small business owners trying to figure out what works for fashion trucks (mobile boutiques), online boutiques, and brick and mortar stores. They intend to learn and inspire by providing business tips, interviewing industry experts, and having inspirational discussions with small business owner and entrepreneurs."
Language Courses,Learn Italian with teacher Mark as he guides you through the basics of the Italian language. In 100 episodes you will learn enough to cope with lots of common situations you may find yourself in while travelling in Italy.
Christianity,"Who are we? Why do we act, think and feel the way we do? How can we become our best, most authentic selves? Welcome to Typology, a podcast that explores the mystery of the human personality and how we can use the Enneagram typing system as a tool to become our best, most authentic selves. Hosted by author, speaker and counselor, Ian Morgan Cron, Typology features interviews with thought leaders from every sphere of life, including renowned Enneagram authors and teachers, psychologists, theologians, artists, business leaders, neuroscientists, philosophers, and more. In other words, we’ll be talking with people who are trying to become the best version of themselves in the world."
Automotive,Sam’s Garage Radio Show is nationally syndicated on AM680 WOGO from 8am – 9am and AM920 The Answer from 11am – 12pm.  Have your automotive questions answered live on the radio.  Sam Mahdavi and Sam Memmolo are the best in the business.  Their years of experience provide real world advice for the do-it yourself mechanics. Between the two of them there is no automotive question that cannot answered.  Thank you for tuning in and please to subscribe!!!
Hobbies,"An original, actual play D&D (Dungeons & Dragons) fantasy story following a group of 5th edition players discovering their destiny as newly arisen gods"
Shopping,Two college grads started a company with the goal of promoting sustainable products and a sustainable lifestyle. They talk about their journey and what they learn on their way.
Food,"Tasty Award winning Average Betty tickles your tummy with creative new recipes, celebrity chef interviews and a healthy dose of satire. Get the recipes at averagebetty.com!"
Aviation,General Aviation VideoCast - explanation of GA flying from inside the cockpit
Food,"If you’ve ever dreamed about cooking like or becoming a professional chef, you’ve come to the right place. Hosted by Chef Jacob Burton, an executive chef by day, wanna be broadcaster by night, we feature instructional style episodes that unpack professional level cooking techniques in an approachable fashion, and interviews with culinary taste makers, including chefs, cook book authors, wine makers, brewers, coffee roasters, and anyone else who is passionate about the world of food and beverage."
Aviation,"Welcome to the Go/No-Go podcast, the show that aims to bridge the gap between military and civilian aviation.  My target audience is active duty military pilots who are looking to the civilian world for their next aviation career.  This show helps flatten the learning curve experienced when trying to figure out the world of civilian aviation."
